concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,concept_code,table_name,record_count,patient_count,patient_coverage_pct,value_mean,value_median,value_p25,value_p75,value_min,value_max,units,coverage_Amsterdam UMC,coverage_Amsterdams Medisch Centrum,coverage_Catharina Ziekenhuis Eindhoven,coverage_OLVG,coverage_UMC Utrecht,coverage_Vrije Universiteit Medisch Centrum
19026739,pantothenic acid,Drug,RxNorm,Ingredient,7891,drug_exposure,51765,3702,3.8161801088570013,,,,,,,,,17.2024157412819,,,,
1588986,"insulin human, rDNA origin",Drug,RxNorm,Ingredient,631657,drug_exposure,51018,2464,2.5399967013029854,,,,,,,,,,,,,12.002012072434608
1776684,ceftazidime,Drug,RxNorm,Ingredient,2191,drug_exposure,48179,3477,3.58424047501237,,,,,,,,4.506564680834286,6.852717708942139,0.24553571428571427,,1.7534676786181629,1.9064386317907445
19009540,vitamin E,Drug,RxNorm,Ingredient,11256,drug_exposure,47922,3447,3.5533151904997524,,,,,,,,,15.970192869666862,,,,
836715,temazepam,Drug,RxNorm,Ingredient,10355,drug_exposure,47914,16032,16.5264720435428,,,,,,,,7.980128533690809,15.341905318527177,6.294642857142857,7.68000730994152,1.6487830410887203,13.893360160965795
36878782,Multivitamin preparation,Drug,RxNorm Extension,Ingredient,OMOP994671,drug_exposure,47531,5947,6.130422233217879,,,,,,,,4.644560974648109,0.0827975842587181,,,1.8319811567652446,19.56237424547284
19118265,succinylated gelatin,Drug,RxNorm,Ingredient,56790,drug_exposure,47103,9600,9.896091044037606,,,,,,,,,,,,,47.203219315895375
1790812,chlorhexidine,Drug,RxNorm,Ingredient,2358,drug_exposure,46547,8367,8.625061850569026,,,,,,,,13.846942396404211,21.610169491525422,,,0.18319811567652447,1.5945674044265594
2000000583,erythrocytes,Drug,ICUdata,Observable Entity,2000000583,drug_exposure,45874,13484,13.899884545604486,,,,,,,,,29.646405610753945,11.473214285714286,,13.687516356974614,29.25553319919517
19003953,rocuronium,Drug,RxNorm,Ingredient,68139,drug_exposure,41918,13148,13.55352135906317,,,,,,,,7.167921775815164,21.205922462497565,5.178571428571429,15.995065789473685,15.650353310651662,9.004024144869215
1368671,milrinone,Drug,RxNorm,Ingredient,52769,drug_exposure,41617,6590,6.793254164604981,,,,,,,,5.2635729211844025,20.99162283265147,3.861607142857143,,11.803192881444648,
2000000585,eye ointment,Drug,ICUdata,Observable Entity,2000000585,drug_exposure,40636,1583,1.6318241794491175,,,,,,,,2.949177936363995,1.1932593025521139,5.200892857142857,,,
1718517,acetylsalicylsalicylic acid,Drug,RxNorm,Ingredient,1858285,drug_exposure,39776,10737,11.068159327065809,,,,,,,,16.181051137483735,1.4806156243911943,34.598214285714285,,18.529180842711334,3.5261569416498992
1370109,sotalol,Drug,RxNorm,Ingredient,9947,drug_exposure,39425,4820,4.9686623783605475,,,,,,,,3.903323739305287,6.380284434054159,0.17857142857142858,,0.287882753205967,4.582494969818914
711584,levetiracetam,Drug,RxNorm,Ingredient,114477,drug_exposure,37314,2462,2.5379350156688107,,,,,,,,4.565705949611639,1.7338788233002143,1.5625,0.5847953216374269,3.533106516618686,2.2183098591549295
1000560,ondansetron,Drug,RxNorm,Ingredient,26225,drug_exposure,36468,12074,12.446396173511463,,,,,,,,18.093285494618144,11.37736216637444,0.022321428571428572,,12.562156503533107,10.789738430583501
1318137,nicardipine,Drug,RxNorm,Ingredient,7396,drug_exposure,35523,3757,3.8728764637968003,,,,,,,,2.1290856759847023,0.3847652444963959,2.1205357142857144,,25.202826485213293,10.271629778672033
19020994,nitroprusside,Drug,RxNorm,Ingredient,7476,drug_exposure,35455,2991,3.0832508659079663,,,,,,,,3.473563852856523,7.797584258718099,,,,1.9114688128772637
